2026-06-26 17:38:46 [http-nio-8080-exec-8] INFO  c.n.b.filter.RequestLoggingFilter - >>> INCOMING REQUEST: OPTIONS /api/v1/auth/register from 0:0:0:0:0:0:0:1 | Content-Type: null | Auth: NULL
2026-06-26 17:38:46 [http-nio-8080-exec-8] WARN  c.n.backend.filter.RateLimitFilter - Rate limit exceeded for IP: 0:0:0:0:0:0:0:1 on endpoint: /api/v1/auth/register
2026-06-26 17:38:46 [http-nio-8080-exec-8] INFO  c.n.b.filter.RequestLoggingFilter - <<< RESPONSE: OPTIONS /api/v1/auth/register -> Status: 429
2026-06-26 17:38:47 [http-nio-8080-exec-9] INFO  c.n.b.filter.RequestLoggingFilter - >>> INCOMING REQUEST: OPTIONS /api/v1/auth/register from 0:0:0:0:0:0:0:1 | Content-Type: null | Auth: NULL
2026-06-26 17:38:47 [http-nio-8080-exec-9] WARN  c.n.backend.filter.RateLimitFilter - Rate limit exceeded for IP: 0:0:0:0:0:0:0:1 on endpoint: /api/v1/auth/register
2026-06-26 17:38:47 [http-nio-8080-exec-9] INFO  c.n.b.filter.RequestLoggingFilter - <<< RESPONSE: OPTIONS /api/v1/auth/register -> Status: 429
2026-06-26 17:38:48 [http-nio-8080-exec-10] INFO  c.n.b.filter.RequestLoggingFilter - >>> INCOMING REQUEST: OPTIONS /api/v1/auth/register from 0:0:0:0:0:0:0:1 | Content-Type: null | Auth: NULL
2026-06-26 17:38:48 [http-nio-8080-exec-10] WARN  c.n.backend.filter.RateLimitFilter - Rate limit exceeded for IP: 0:0:0:0:0:0:0:1 on endpoint: /api/v1/auth/register
2026-06-26 17:38:48 [http-nio-8080-exec-10] INFO  c.n.b.filter.RequestLoggingFilter - <<< RESPONSE: OPTIONS /api/v1/auth/register -> Status: 429
2026-06-26 17:38:49 [http-nio-8080-exec-1] INFO  c.n.b.filter.RequestLoggingFilter - >>> INCOMING REQUEST: OPTIONS /api/v1/auth/register from 0:0:0:0:0:0:0:1 | Content-Type: null | Auth: NULL
2026-06-26 17:38:49 [http-nio-8080-exec-1] WARN  c.n.backend.filter.RateLimitFilter - Rate limit exceeded for IP: 0:0:0:0:0:0:0:1 on endpoint: /api/v1/auth/register
2026-06-26 17:38:49 [http-nio-8080-exec-1] INFO  c.n.b.filter.RequestLoggingFilter - <<< RESPONSE: OPTIONS /api/v1/auth/register -> Status: 429
2026-06-26 17:52:25 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 2, active threads = 1, queued tasks = 0, completed tasks = 1]
2026-06-26 18:00:09 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5m24s986ms824µs900ns).
2026-06-26 18:04:27 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-26 18:04:27 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-26 18:04:27 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2026-06-26 18:04:27 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@27bcfd19]]
2026-06-26 18:04:27 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
